round,client_req,new_updates,avg_loss,queue_size,client_train_acc,client_test_acc,client_train_acc_avg,client_test_acc_avg,accuracy_score,aggregator_time
30,10,8,"[1.189268946647644, 1.6499677002429962, 1.1833694577217102, 1.1740509867668152, 1.6050040125846863, 1.149408221244812, 1.1486292481422424, 1.1914633810520172]",10,"[0.9523809523809523, 0.031746031746031744, 0.9682539682539683, 0.9682539682539683, 0.015873015873015872, 0.9682539682539683, 0.9841269841269841, 0.9920634920634921]","[0.9782505910165484, 0.966903073286052, 0.9763593380614657, 0.9768321513002364, 0.9654846335697399, 0.9754137115839243, 0.9754137115839243, 0.9768321513002364]",0.7351190476190476,0.9739361702127658,0.9754137115839243,0.03239011764526367
31,10,13,"[1.1705520153045654, 1.6196000576019287, 1.171834647655487, 1.1402525007724762, 1.1532009840011597, 1.1515474617481232, 1.693147748708725, 1.6392191350460052, 1.1678923964500427, 1.6287926733493805, 1.6810845136642456, 1.1440614759922028, 1.1401934623718262]",7,"[0.9682539682539683, 0.05555555555555555, 0.9841269841269841, 0.9841269841269841, 0.9523809523809523, 0.9761904761904762, 0.023809523809523808, 0.015873015873015872, 0.9841269841269841, 0.015873015873015872, 0.03968253968253968, 0.9920634920634921, 0.9920634920634921]","[0.968321513002364, 0.9484633569739953, 0.9749408983451536, 0.9791962174940898, 0.9787234042553191, 0.9806146572104019, 0.9754137115839243, 0.9706855791962175, 0.9825059101654846, 0.9721040189125295, 0.9721040189125295, 0.9796690307328605, 0.9791962174940898]",0.6141636141636142,0.9739952718676125,0.975886524822695,0.08362197875976562
32,9,9,"[1.1675342321395874, 1.1344958245754242, 1.6564377844333649, 1.1404353380203247, 1.6766372323036194, 1.127821832895279, 1.1760172545909882, 1.1546531915664673, 1.1407420635223389]",7,"[0.9761904761904762, 0.9603174603174603, 0.05555555555555555, 0.9523809523809523, 0.007936507936507936, 0.9920634920634921, 0.9523809523809523, 0.9603174603174603, 0.9682539682539683]","[0.9768321513002364, 0.9806146572104019, 0.9716312056737588, 0.983451536643026, 0.9754137115839243, 0.9791962174940898, 0.983451536643026, 0.9829787234042553, 0.9791962174940898]",0.7583774250440918,0.9791962174940898,0.9801418439716312,0.05494499206542969
33,9,8,"[1.2113309502601624, 1.7073586285114288, 1.1173107326030731, 1.6810595095157623, 1.1327030956745148, 1.684402346611023, 1.1342083811759949, 1.673571139574051]",8,"[0.9444444444444444, 0.03968253968253968, 0.9682539682539683, 0.05555555555555555, 0.9761904761904762, 0.023809523809523808, 0.9603174603174603, 0.023809523809523808]","[0.968321513002364, 0.9796690307328605, 0.9843971631205674, 0.975886524822695, 0.983451536643026, 0.9777777777777777, 0.9839243498817967, 0.9782505910165484]",0.4990079365079365,0.9789598108747045,0.9782505910165484,0.037405967712402344
34,10,6,"[1.136044591665268, 1.6437478065490723, 1.6631551682949066, 1.643922597169876, 1.6423750221729279, 1.6974863409996033]",12,"[0.9682539682539683, 0.015873015873015872, 0.031746031746031744, 0.023809523809523808, 0.03968253968253968, 0.023809523809523808]","[0.9815602836879432, 0.9744680851063829, 0.9754137115839243, 0.9773049645390071, 0.9754137115839243, 0.9796690307328605]",0.18386243386243384,0.977304964539007,0.975886524822695,0.018117189407348633
35,9,9,"[1.1521487534046173, 1.1818692088127136, 1.1739643216133118, 1.59555584192276, 1.6303012073040009, 1.6167117357254028, 1.6550625264644623, 1.180317908525467, 1.6512508392333984]",12,"[0.9841269841269841, 0.9761904761904762, 0.9920634920634921, 0.031746031746031744, 0.05555555555555555, 0.031746031746031744, 0.03968253968253968, 0.9603174603174603, 0.023809523809523808]","[0.975886524822695, 0.9810874704491725, 0.9796690307328605, 0.9706855791962175, 0.9711583924349881, 0.9754137115839243, 0.9744680851063829, 0.9825059101654846, 0.9744680851063829]",0.455026455026455,0.9761491988442343,0.975886524822695,0.056294918060302734
36,8,11,"[1.1707998216152191, 1.109828919172287, 1.6148337721824646, 1.1975608468055725, 1.5885396897792816, 1.1942125856876373, 1.1705036163330078, 1.2004152238368988, 1.1917671263217926, 1.1734828054904938, 1.5987843573093414]",9,"[0.9603174603174603, 0.9920634920634921, 0.015873015873015872, 0.9920634920634921, 0.023809523809523808, 0.9841269841269841, 0.9444444444444444, 0.9920634920634921, 0.9603174603174603, 0.9761904761904762, 0.031746031746031744]","[0.9825059101654846, 0.983451536643026, 0.9763593380614657, 0.9815602836879432, 0.9697399527186761, 0.9820330969267139, 0.9810874704491725, 0.9801418439716312, 0.9815602836879432, 0.9791962174940898, 0.9739952718676123]",0.7157287157287158,0.9792392005157962,0.9801418439716312,0.02787494659423828
37,9,11,"[1.1461045444011688, 1.1062667965888977, 1.6198376715183258, 1.6610983610153198, 1.1774196922779083, 1.614230066537857, 1.181300163269043, 1.1700713336467743, 1.6791724264621735, 1.1451382339000702, 1.1616293489933014]",7,"[0.9841269841269841, 0.9920634920634921, 0.05555555555555555, 0.031746031746031744, 0.9761904761904762, 0.015873015873015872, 0.9920634920634921, 0.9761904761904762, 0.007936507936507936, 0.9920634920634921, 0.9603174603174603]","[0.9744680851063829, 0.9711583924349881, 0.9650118203309692, 0.9810874704491725, 0.9839243498817967, 0.9773049645390071, 0.9839243498817967, 0.9853427895981087, 0.9801418439716312, 0.9810874704491725, 0.9825059101654846]",0.6349206349206349,0.978723404255319,0.9806146572104019,0.051867008209228516
38,10,9,"[1.188658356666565, 1.1682408154010773, 1.6562600433826447, 1.1556116342544556, 1.643637478351593, 1.1506933271884918, 1.1343086957931519, 1.1559512913227081, 1.6426445245742798]",8,"[0.9761904761904762, 0.9603174603174603, 0.023809523809523808, 0.9682539682539683, 0.031746031746031744, 0.9761904761904762, 0.9682539682539683, 0.9761904761904762, 0.031746031746031744]","[0.9754137115839243, 0.984869976359338, 0.9782505910165484, 0.9839243498817967, 0.9806146572104019, 0.9853427895981087, 0.9839243498817967, 0.984869976359338, 0.9787234042553191]",0.6569664902998236,0.9817704229051745,0.9829787234042553,0.06007719039916992
39,10,6,"[1.1467209160327911, 1.1342163681983948, 1.1368550658226013, 1.6975605189800262, 1.6900326609611511, 1.1837120950222015]",12,"[0.9841269841269841, 0.9761904761904762, 0.9920634920634921, 0.023809523809523808, 0.007936507936507936, 0.9761904761904762]","[0.9853427895981087, 0.9843971631205674, 0.9843971631205674, 0.983451536643026, 0.9825059101654846, 0.9877068557919622]",0.6600529100529101,0.9846335697399526,0.9853427895981087,0.030057907104492188
