round,client_req,new_updates,avg_loss,queue_size,client_train_acc,client_test_acc,client_train_acc_avg,client_test_acc_avg,accuracy_score,aggregator_time
21,9,9,"[1.2742295563220978, 1.2617734670639038, 1.4712073504924774, 1.555888295173645, 1.5783187448978424, 1.2204384505748749, 1.5806531310081482, 1.5456319451332092, 1.532405287027359]",15,"[0.8571428571428571, 0.9682539682539683, 0.4126984126984127, 0.11904761904761904, 0.07936507936507936, 0.9682539682539683, 0.10317460317460317, 0.07142857142857142, 0.10317460317460317]","[0.9111111111111111, 0.9092198581560283, 0.5952718676122931, 0.9111111111111111, 0.9215130023640662, 0.9522458628841608, 0.9182033096926714, 0.9026004728132387, 0.8997635933806146]",0.4091710758377426,0.8801155765694774,0.9106382978723404,0.10618877410888672
22,8,7,"[1.2723524570465088, 1.2800398468971252, 1.487497717142105, 1.2512626945972443, 1.239024430513382, 1.2332660555839539, 1.239953190088272]",16,"[0.8253968253968254, 0.8174603174603174, 0.30158730158730157, 0.9365079365079365, 0.9682539682539683, 0.9365079365079365, 0.9444444444444444]","[0.8321513002364066, 0.8397163120567376, 0.7588652482269503, 0.9437352245862884, 0.9408983451536643, 0.9352245862884161, 0.9408983451536643]",0.8185941043083901,0.8844984802431611,0.932387706855792,0.14881587028503418
23,9,10,"[1.222304791212082, 1.2145590484142303, 1.5542385280132294, 1.2262358367443085, 1.1773898601531982, 1.2156281173229218, 1.5741759836673737, 1.2099513709545135, 1.224572479724884, 1.2094572186470032]",15,"[0.9682539682539683, 0.9603174603174603, 0.1111111111111111, 0.9126984126984127, 0.9841269841269841, 0.8888888888888888, 0.0873015873015873, 0.9761904761904762, 0.9682539682539683, 0.9444444444444444]","[0.9333333333333333, 0.9513002364066194, 0.908274231678487, 0.9517730496453901, 0.9404255319148936, 0.9555555555555556, 0.9210401891252955, 0.9484633569739953, 0.9527186761229315, 0.950354609929078]",0.7801587301587302,0.9413238770685581,0.9475177304964539,0.13231396675109863
24,8,10,"[1.2807165384292603, 1.2580090165138245, 1.2677035331726074, 1.2207895517349243, 1.5582701563835144, 1.2018774151802063, 1.2003492414951324, 1.2296567559242249, 1.212203174829483, 1.2077884376049042]",13,"[0.9047619047619048, 0.8968253968253969, 0.9603174603174603, 0.9285714285714286, 0.07936507936507936, 0.9444444444444444, 0.9920634920634921, 0.9126984126984127, 0.9603174603174603, 0.9365079365079365]","[0.8926713947990543, 0.9210401891252955, 0.9290780141843972, 0.9290780141843972, 0.9281323877068558, 0.9654846335697399, 0.9621749408983451, 0.9659574468085106, 0.9650118203309692, 0.9617021276595744]",0.8515873015873016,0.9420330969267139,0.956501182033097,0.27950477600097656
25,8,7,"[1.2369028329849243, 1.2702812850475311, 1.2289862036705017, 1.1825730502605438, 1.2064818143844604, 1.1888403594493866, 1.1894093751907349]",14,"[0.9365079365079365, 0.9047619047619048, 0.9920634920634921, 0.9603174603174603, 0.9761904761904762, 0.9444444444444444, 0.9523809523809523]","[0.9352245862884161, 0.9229314420803783, 0.9371158392434988, 0.9687943262411347, 0.9692671394799054, 0.968321513002364, 0.9687943262411347]",0.9523809523809524,0.9529213103681188,0.968321513002364,0.17188310623168945
26,9,11,"[1.2279848456382751, 1.5792059004306793, 1.1944818198680878, 1.162937581539154, 1.158223420381546, 1.5779571533203125, 1.65252023935318, 1.1883905231952667, 1.178853839635849, 1.164923995733261, 1.6042884588241577]",12,"[0.8968253968253969, 0.11904761904761904, 0.9761904761904762, 0.9761904761904762, 0.9682539682539683, 0.031746031746031744, 0.031746031746031744, 0.9761904761904762, 0.9365079365079365, 0.9761904761904762, 0.03968253968253968]","[0.9295508274231679, 0.9314420803782506, 0.9621749408983451, 0.9706855791962175, 0.9735224586288416, 0.9583924349881797, 0.9650118203309692, 0.9739952718676123, 0.9744680851063829, 0.9735224586288416, 0.9607565011820332]",0.6298701298701299,0.9612293144208036,0.9678486997635933,0.20001006126403809
27,9,10,"[1.2124996483325958, 1.1797833144664764, 1.6342625319957733, 1.16708105802536, 1.1727007329463959, 1.1722879111766815, 1.180991381406784, 1.1905147731304169, 1.2007554769515991, 1.1910578906536102]",11,"[0.9682539682539683, 0.9761904761904762, 0.047619047619047616, 0.9603174603174603, 0.9523809523809523, 0.9126984126984127, 0.9841269841269841, 0.9603174603174603, 0.9920634920634921, 0.9761904761904762]","[0.9517730496453901, 0.9739952718676123, 0.9593380614657211, 0.9702127659574468, 0.9706855791962175, 0.9749408983451536, 0.9735224586288416, 0.9735224586288416, 0.9739952718676123, 0.9739952718676123]",0.8730158730158731,0.9695981087470449,0.9716312056737588,0.1898338794708252
28,8,10,"[1.2620073854923248, 1.2202047109603882, 1.2336010336875916, 1.5504511296749115, 1.1965474784374237, 1.6791537702083588, 1.1308737099170685, 1.1826406121253967, 1.1402420103549957, 1.1548182666301727]",9,"[0.9206349206349206, 0.9523809523809523, 0.8968253968253969, 0.12698412698412698, 0.9761904761904762, 0.015873015873015872, 0.9841269841269841, 0.9761904761904762, 0.9841269841269841, 0.9761904761904762]","[0.9148936170212766, 0.9347517730496454, 0.941371158392435, 0.8803782505910166, 0.968321513002364, 0.9692671394799054, 0.9754137115839243, 0.9782505910165484, 0.9763593380614657, 0.9768321513002364]",0.780952380952381,0.9515839243498817,0.9692671394799054,0.2244279384613037
29,9,10,"[1.5565468072891235, 1.205489844083786, 1.2032630741596222, 1.1765529811382294, 1.1808291971683502, 1.1801759004592896, 1.5855788588523865, 1.1915602385997772, 1.619157612323761, 1.5946823060512543]",8,"[0.06349206349206349, 0.9285714285714286, 0.9365079365079365, 0.9682539682539683, 0.9523809523809523, 0.9761904761904762, 0.023809523809523808, 0.9920634920634921, 0.031746031746031744, 0.015873015873015872]","[0.908274231678487, 0.9494089834515367, 0.9739952718676123, 0.975886524822695, 0.9749408983451536, 0.9749408983451536, 0.9650118203309692, 0.9763593380614657, 0.9654846335697399, 0.9654846335697399]",0.5888888888888888,0.9629787234042555,0.9711583924349881,0.42502617835998535
30,10,8,"[1.1874834895133972, 1.6520870327949524, 1.181603103876114, 1.1723184287548065, 1.6070209443569183, 1.1476089656352997, 1.1468258202075958, 1.189736545085907]",10,"[0.9523809523809523, 0.031746031746031744, 0.9682539682539683, 0.9682539682539683, 0.015873015873015872, 0.9682539682539683, 0.9841269841269841, 0.9920634920634921]","[0.9791962174940898, 0.9692671394799054, 0.9777777777777777, 0.9787234042553191, 0.9678486997635933, 0.975886524822695, 0.975886524822695, 0.9768321513002364]",0.7351190476190476,0.9751773049645389,0.9768321513002364,0.09647274017333984
31,10,13,"[1.1694200932979584, 1.6208585798740387, 1.1706624031066895, 1.1381909251213074, 1.1512917280197144, 1.1495565176010132, 1.6955630779266357, 1.6416173577308655, 1.1658804714679718, 1.63118577003479, 1.6835585832595825, 1.1420407593250275, 1.1381621658802032]",7,"[0.9761904761904762, 0.05555555555555555, 0.9841269841269841, 0.9841269841269841, 0.9523809523809523, 0.9761904761904762, 0.023809523809523808, 0.015873015873015872, 0.9841269841269841, 0.015873015873015872, 0.03968253968253968, 0.9920634920634921, 0.9920634920634921]","[0.968321513002364, 0.948936170212766, 0.975886524822695, 0.9801418439716312, 0.9806146572104019, 0.9815602836879432, 0.9768321513002364, 0.9716312056737588, 0.983451536643026, 0.9735224586288416, 0.9744680851063829, 0.9810874704491725, 0.9810874704491725]",0.6147741147741148,0.975195490089107,0.9777777777777777,0.346843957901001
