round,n_client_req,n_new_updates,n_delayed_updates,n_malicious_updates,n_benign_updates,update_delays,client_avg_loss_avg,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
31,58,73,53,0,73,"[29.0, 29.0, 28.0, 28.0, 28.0, 27.0, 27.0, 27.0, 27.0, 27.0, 26.0, 24.0, 24.0, 24.0, 24.0, 24.0, 23.0, 22.0, 22.0, 21.0, 21.0, 20.0, 19.0, 19.0, 19.0, 18.0, 18.0, 18.0, 17.0, 17.0, 17.0, 17.0, 16.0, 15.0, 15.0, 14.0, 13.0, 13.0, 12.0, 12.0, 12.0, 11.0, 9.0, 9.0, 9.0, 8.0, 7.0, 6.0, 6.0, 6.0, 5.0, 3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.675555944442749,0.9726027250289917,0.9670908451080322,0.9726027250289917,0.9726027250289917,0,0,0.9754137115839243,0.08935904502868652
32,50,64,39,0,64,"[29.0, 28.0, 28.0, 27.0, 27.0, 27.0, 27.0, 25.0, 25.0, 24.0, 24.0, 23.0, 22.0, 21.0, 20.0, 20.0, 20.0, 18.0, 15.0, 15.0, 14.0, 12.0, 12.0, 11.0, 10.0, 10.0, 9.0, 8.0, 6.0, 6.0, 6.0, 5.0, 5.0, 5.0, 3.0, 2.0, 2.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6728584170341492,0.9739583730697632,0.9711583852767944,0.9739583730697632,0.9739583730697632,0,0,0.9763593380614657,0.1806809902191162
33,53,70,38,0,70,"[29.0, 29.0, 29.0, 29.0, 27.0, 27.0, 27.0, 26.0, 26.0, 25.0, 24.0, 24.0, 24.0, 23.0, 22.0, 21.0, 21.0, 19.0, 18.0, 18.0, 16.0, 15.0, 14.0, 13.0, 12.0, 12.0, 11.0, 9.0, 7.0, 7.0, 7.0, 7.0, 7.0, 4.0, 4.0, 4.0, 3.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6731939315795898,0.9833333492279053,0.9742518663406372,0.9833333492279053,0.9833333492279053,0,0,0.9787234042553191,0.0861978530883789
34,51,39,39,0,39,"[29.0, 29.0, 28.0, 27.0, 27.0, 26.0, 26.0, 25.0, 25.0, 24.0, 24.0, 24.0, 22.0, 22.0, 21.0, 20.0, 19.0, 18.0, 18.0, 17.0, 17.0, 17.0, 17.0, 16.0, 16.0, 15.0, 15.0, 13.0, 13.0, 12.0, 10.0, 9.0, 7.0, 6.0, 5.0, 3.0, 3.0, 1.0, 1.0]",0.673940122127533,0.9764958024024963,0.970831036567688,0.9764958024024963,0.9764958024024963,0,0,0.9730496453900709,0.058980703353881836
35,41,61,42,0,61,"[29.0, 29.0, 27.0, 26.0, 26.0, 26.0, 25.0, 24.0, 23.0, 20.0, 20.0, 19.0, 19.0, 18.0, 18.0, 18.0, 18.0, 17.0, 17.0, 16.0, 16.0, 15.0, 12.0, 12.0, 11.0, 10.0, 10.0, 9.0, 7.0, 7.0, 6.0, 4.0, 4.0, 4.0, 3.0, 3.0, 3.0, 2.0, 2.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6725641489028931,0.9781420826911926,0.9752897024154663,0.9781420826911926,0.9781420826911926,0,0,0.9782505910165484,0.17533349990844727
36,51,23,23,0,23,"[29.0, 27.0, 27.0, 26.0, 26.0, 25.0, 25.0, 19.0, 19.0, 18.0, 17.0, 17.0, 16.0, 10.0, 9.0, 9.0, 9.0, 7.0, 6.0, 5.0, 3.0, 2.0, 1.0]",0.6744009256362915,0.9746376276016235,0.9736869931221008,0.9746376276016235,0.9746376276016235,0,0,0.975886524822695,0.04486680030822754
37,48,50,33,0,50,"[28.0, 28.0, 28.0, 27.0, 25.0, 23.0, 22.0, 22.0, 20.0, 20.0, 18.0, 17.0, 15.0, 15.0, 13.0, 13.0, 13.0, 12.0, 12.0, 11.0, 10.0, 9.0, 9.0, 7.0, 7.0, 7.0, 7.0, 5.0, 5.0, 3.0, 3.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6722403168678284,0.9833333492279053,0.977125346660614,0.9833333492279053,0.9833333492279053,0,0,0.9787234042553191,0.06825709342956543
38,51,67,37,0,67,"[29.0, 29.0, 28.0, 28.0, 28.0, 26.0, 26.0, 25.0, 25.0, 23.0, 22.0, 21.0, 20.0, 18.0, 17.0, 16.0, 16.0, 13.0, 13.0, 13.0, 12.0, 11.0, 9.0, 9.0, 8.0, 8.0, 7.0, 6.0, 5.0, 5.0, 4.0, 4.0, 4.0, 4.0, 2.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6719327569007874,0.976368248462677,0.9777706861495972,0.976368248462677,0.976368248462677,0,0,0.9801418439716312,0.08467388153076172
39,45,32,32,0,32,"[29.0, 29.0, 29.0, 25.0, 25.0, 24.0, 24.0, 21.0, 21.0, 20.0, 19.0, 19.0, 18.0, 18.0, 17.0, 17.0, 16.0, 14.0, 13.0, 12.0, 12.0, 11.0, 10.0, 10.0, 9.0, 9.0, 8.0, 7.0, 5.0, 5.0, 4.0, 3.0]",0.6729294061660767,0.9791667461395264,0.9739804863929749,0.9791667461395264,0.9791667461395264,0,0,0.9744680851063829,0.053704261779785156
40,42,41,41,0,41,"[29.0, 28.0, 28.0, 27.0, 27.0, 24.0, 24.0, 24.0, 22.0, 21.0, 21.0, 19.0, 19.0, 18.0, 18.0, 15.0, 15.0, 14.0, 14.0, 13.0, 12.0, 12.0, 12.0, 11.0, 11.0, 11.0, 10.0, 10.0, 10.0, 9.0, 9.0, 7.0, 7.0, 6.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 1.0]",0.673556387424469,0.9878048896789551,0.9762325882911682,0.9878048896789551,0.9878048896789551,0,0,0.9787234042553191,0.1612250804901123
